
Varste si grupe de varsta, Sexe, Medii de rezidenta, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
Total, Total, Total, TOTAL, Anul 1992, Numar persoane, 23143860
Total, Total, Total, TOTAL, Anul 1993, Numar persoane, 23118745
Total, Total, Total, TOTAL, Anul 1994, Numar persoane, 23093262
Total, Total, Total, TOTAL, Anul 1995, Numar persoane, 23062448
Total, Total, Total, TOTAL, Anul 1996, Numar persoane, 23009075
Total, Total, Total, TOTAL, Anul 1997, Numar persoane, 22938405
Total, Total, Total, TOTAL, Anul 1998, Numar persoane, 22885802
Total, Total, Total, TOTAL, Anul 1999, Numar persoane, 22852905
Total, Total, Total, TOTAL, Anul 2000, Numar persoane, 22825288
Total, Total, Total, TOTAL, Anul 2001, Numar persoane, 22809546
Total, Total, Total, TOTAL, Anul 2002, Numar persoane, 22779441
Total, Total, Total, TOTAL, Anul 2003, Numar persoane, 22733751
Total, Total, Total, TOTAL, Anul 2004, Numar persoane, 22688392
Total, Total, Total, TOTAL, Anul 2005, Numar persoane, 22648514
Total, Total, Total, TOTAL, Anul 2006, Numar persoane, 22614980
Total, Total, Total, TOTAL, Anul 2007, Numar persoane, 22582773
Total, Total, Total, TOTAL, Anul 2008, Numar persoane, 22561686
Total, Total, Total, TOTAL, Anul 2009, Numar persoane, 22541941
Total, Total, Total, TOTAL, Anul 2010, Numar persoane, 22516004
Total, Total, Total, TOTAL, Anul 2011, Numar persoane, 22480599
Total, Total, Total, TOTAL, Anul 2012, Numar persoane, 22433741
Total, Total, Total, TOTAL, Anul 2013, Numar persoane, 22390978
Total, Total, Total, TOTAL, Anul 2014, Numar persoane, 22346178
Total, Total, Total, TOTAL, Anul 2015, Numar persoane, 22312887
Total, Total, Total, TOTAL, Anul 2016, Numar persoane, 22260798
Total, Total, Total, TOTAL, Anul 2017, Numar persoane, 22222894
Total, Total, Total, MACROREGIUNEA UNU, Anul 1992, Numar persoane, 5673890
Total, Total, Total, MACROREGIUNEA UNU, Anul 1993, Numar persoane, 5659770
Total, Total, Total, MACROREGIUNEA UNU, Anul 1994, Numar persoane, 5647281
Total, Total, Total, MACROREGIUNEA UNU, Anul 1995, Numar persoane, 5636297
Total, Total, Total, MACROREGIUNEA UNU, Anul 1996, Numar persoane, 5617448
Total, Total, Total, MACROREGIUNEA UNU, Anul 1997, Numar persoane, 5599578
Total, Total, Total, MACROREGIUNEA UNU, Anul 1998, Numar persoane, 5583698
Total, Total, Total, MACROREGIUNEA UNU, Anul 1999, Numar persoane, 5573163
Total, Total, Total, MACROREGIUNEA UNU, Anul 2000, Numar persoane, 5563868
Total, Total, Total, MACROREGIUNEA UNU, Anul 2001, Numar persoane, 5558056
Total, Total, Total, MACROREGIUNEA UNU, Anul 2002, Numar persoane, 5549438
Total, Total, Total, MACROREGIUNEA UNU, Anul 2003, Numar persoane, 5537614
Total, Total, Total, MACROREGIUNEA UNU, Anul 2004, Numar persoane, 5527454
Total, Total, Total, MACROREGIUNEA UNU, Anul 2005, Numar persoane, 5516814
Total, Total, Total, MACROREGIUNEA UNU, Anul 2006, Numar persoane, 5510987
Total, Total, Total, MACROREGIUNEA UNU, Anul 2007, Numar persoane, 5504303
Total, Total, Total, MACROREGIUNEA UNU, Anul 2008, Numar persoane, 5502322
Total, Total, Total, MACROREGIUNEA UNU, Anul 2009, Numar persoane, 5502357
Total, Total, Total, MACROREGIUNEA UNU, Anul 2010, Numar persoane, 5501040
Total, Total, Total, MACROREGIUNEA UNU, Anul 2011, Numar persoane, 5499550
Total, Total, Total, MACROREGIUNEA UNU, Anul 2012, Numar persoane, 5494033
Total, Total, Total, MACROREGIUNEA UNU, Anul 2013, Numar persoane, 5488060
Total, Total, Total, MACROREGIUNEA UNU, Anul 2014, Numar persoane, 5482177
Total, Total, Total, MACROREGIUNEA UNU, Anul 2015, Numar persoane, 5480187
Total, Total, Total, MACROREGIUNEA UNU, Anul 2016, Numar persoane, 5472288
Total, Total, Total, MACROREGIUNEA UNU, Anul 2017, Numar persoane, 5469049
Total, Total, Total, Regiunea NORD-VEST, Anul 1992, Numar persoane, 2964507
Total, Total, Total, Regiunea NORD-VEST, Anul 1993, Numar persoane, 2954889
Total, Total, Total, Regiunea NORD-VEST, Anul 1994, Numar persoane, 2947183
Total, Total, Total, Regiunea NORD-VEST, Anul 1995, Numar persoane, 2939439
Total, Total, Total, Regiunea NORD-VEST, Anul 1996, Numar persoane, 2928950
Total, Total, Total, Regiunea NORD-VEST, Anul 1997, Numar persoane, 2918142
Total, Total, Total, Regiunea NORD-VEST, Anul 1998, Numar persoane, 2908299
Total, Total, Total, Regiunea NORD-VEST, Anul 1999, Numar persoane, 2902074
Total, Total, Total, Regiunea NORD-VEST, Anul 2000, Numar persoane, 2896338
Total, Total, Total, Regiunea NORD-VEST, Anul 2001, Numar persoane, 2891513
