
Clasificarea internationala a maladiilor - Revizia a X a 1994, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
Total, TOTAL, Anul 1990, Numar persoane, 247086
Total, TOTAL, Anul 1991, Numar persoane, 251760
Total, TOTAL, Anul 1992, Numar persoane, 263855
Total, TOTAL, Anul 1993, Numar persoane, 263323
Total, TOTAL, Anul 1994, Numar persoane, 266101
Total, TOTAL, Anul 1995, Numar persoane, 271672
Total, TOTAL, Anul 1996, Numar persoane, 286158
Total, TOTAL, Anul 1997, Numar persoane, 279315
Total, TOTAL, Anul 1998, Numar persoane, 269166
Total, TOTAL, Anul 1999, Numar persoane, 265194
Total, TOTAL, Anul 2000, Numar persoane, 255820
Total, TOTAL, Anul 2001, Numar persoane, 259603
Total, TOTAL, Anul 2002, Numar persoane, 269666
Total, TOTAL, Anul 2003, Numar persoane, 266575
Total, TOTAL, Anul 2004, Numar persoane, 258890
Total, TOTAL, Anul 2005, Numar persoane, 262101
Total, TOTAL, Anul 2006, Numar persoane, 258094
Total, TOTAL, Anul 2007, Numar persoane, 251965
Total, TOTAL, Anul 2008, Numar persoane, 253202
Total, TOTAL, Anul 2009, Numar persoane, 257213
Total, TOTAL, Anul 2010, Numar persoane, 259723
Total, TOTAL, Anul 2011, Numar persoane, 251439
Total, TOTAL, Anul 2012, Numar persoane, 255539
Total, TOTAL, Anul 2013, Numar persoane, 250466
Total, TOTAL, Anul 2014, Numar persoane, 255604
Total, TOTAL, Anul 2015, Numar persoane, 261697
Total, TOTAL, Anul 2016, Numar persoane, 257547
Total, MACROREGIUNEA UNU, Anul 1990, Numar persoane, 60920
Total, MACROREGIUNEA UNU, Anul 1991, Numar persoane, 61734
Total, MACROREGIUNEA UNU, Anul 1992, Numar persoane, 65714
Total, MACROREGIUNEA UNU, Anul 1993, Numar persoane, 65973
Total, MACROREGIUNEA UNU, Anul 1994, Numar persoane, 65296
Total, MACROREGIUNEA UNU, Anul 1995, Numar persoane, 65830
Total, MACROREGIUNEA UNU, Anul 1996, Numar persoane, 67943
Total, MACROREGIUNEA UNU, Anul 1997, Numar persoane, 67741
Total, MACROREGIUNEA UNU, Anul 1998, Numar persoane, 65346
Total, MACROREGIUNEA UNU, Anul 1999, Numar persoane, 64238
Total, MACROREGIUNEA UNU, Anul 2000, Numar persoane, 61714
Total, MACROREGIUNEA UNU, Anul 2001, Numar persoane, 62383
Total, MACROREGIUNEA UNU, Anul 2002, Numar persoane, 64598
Total, MACROREGIUNEA UNU, Anul 2003, Numar persoane, 62633
Total, MACROREGIUNEA UNU, Anul 2004, Numar persoane, 62565
Total, MACROREGIUNEA UNU, Anul 2005, Numar persoane, 62603
Total, MACROREGIUNEA UNU, Anul 2006, Numar persoane, 62105
Total, MACROREGIUNEA UNU, Anul 2007, Numar persoane, 59252
Total, MACROREGIUNEA UNU, Anul 2008, Numar persoane, 59426
Total, MACROREGIUNEA UNU, Anul 2009, Numar persoane, 60453
Total, MACROREGIUNEA UNU, Anul 2010, Numar persoane, 60169
Total, MACROREGIUNEA UNU, Anul 2011, Numar persoane, 58478
Total, MACROREGIUNEA UNU, Anul 2012, Numar persoane, 59267
Total, MACROREGIUNEA UNU, Anul 2013, Numar persoane, 58532
Total, MACROREGIUNEA UNU, Anul 2014, Numar persoane, 59234
Total, MACROREGIUNEA UNU, Anul 2015, Numar persoane, 61460
Total, MACROREGIUNEA UNU, Anul 2016, Numar persoane, 59645
Total, Regiunea NORD-VEST, Anul 1990, Numar persoane, 33300
Total, Regiunea NORD-VEST, Anul 1991, Numar persoane, 34148
Total, Regiunea NORD-VEST, Anul 1992, Numar persoane, 36561
Total, Regiunea NORD-VEST, Anul 1993, Numar persoane, 36422
Total, Regiunea NORD-VEST, Anul 1994, Numar persoane, 36192
Total, Regiunea NORD-VEST, Anul 1995, Numar persoane, 35955
Total, Regiunea NORD-VEST, Anul 1996, Numar persoane, 37055
Total, Regiunea NORD-VEST, Anul 1997, Numar persoane, 36913
Total, Regiunea NORD-VEST, Anul 1998, Numar persoane, 35583
Total, Regiunea NORD-VEST, Anul 1999, Numar persoane, 34854
Total, Regiunea NORD-VEST, Anul 2000, Numar persoane, 33976
Total, Regiunea NORD-VEST, Anul 2001, Numar persoane, 34134
Total, Regiunea NORD-VEST, Anul 2002, Numar persoane, 34776
Total, Regiunea NORD-VEST, Anul 2003, Numar persoane, 33934
Total, Regiunea NORD-VEST, Anul 2004, Numar persoane, 34010
Total, Regiunea NORD-VEST, Anul 2005, Numar persoane, 33798
Total, Regiunea NORD-VEST, Anul 2006, Numar persoane, 33155
Total, Regiunea NORD-VEST, Anul 2007, Numar persoane, 31735
Total, Regiunea NORD-VEST, Anul 2008, Numar persoane, 31377
Total, Regiunea NORD-VEST, Anul 2009, Numar persoane, 32124
Total, Regiunea NORD-VEST, Anul 2010, Numar persoane, 31903
Total, Regiunea NORD-VEST, Anul 2011, Numar persoane, 31013
Total, Regiunea NORD-VEST, Anul 2012, Numar persoane, 31590
Total, Regiunea NORD-VEST, Anul 2013, Numar persoane, 31104
Total, Regiunea NORD-VEST, Anul 2014, Numar persoane, 31266
Total, Regiunea NORD-VEST, Anul 2015, Numar persoane, 32524
Total, Regiunea NORD-VEST, Anul 2016, Numar persoane, 31271
Total, Bihor, Anul 1990, Numar persoane, 8402
Total, Bihor, Anul 1991, Numar persoane, 8599
