
Clasificarea internationala a maladiilor - Revizia a X a 1994, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
Total, MACROREGIUNEA TREI, Anul 1990, Numar persoane, 65963
Total, MACROREGIUNEA TREI, Anul 1991, Numar persoane, 67105
Total, MACROREGIUNEA TREI, Anul 1992, Numar persoane, 70505
Total, MACROREGIUNEA TREI, Anul 1993, Numar persoane, 70117
Total, MACROREGIUNEA TREI, Anul 1994, Numar persoane, 69815
Total, MACROREGIUNEA TREI, Anul 1995, Numar persoane, 72668
Total, MACROREGIUNEA TREI, Anul 1996, Numar persoane, 76867
Total, MACROREGIUNEA TREI, Anul 1997, Numar persoane, 74338
Total, MACROREGIUNEA TREI, Anul 1998, Numar persoane, 71610
Total, MACROREGIUNEA TREI, Anul 1999, Numar persoane, 70112
Total, MACROREGIUNEA TREI, Anul 2000, Numar persoane, 68008
Total, MACROREGIUNEA TREI, Anul 2001, Numar persoane, 68808
Total, MACROREGIUNEA TREI, Anul 2002, Numar persoane, 71412
Total, MACROREGIUNEA TREI, Anul 2003, Numar persoane, 70773
Total, MACROREGIUNEA TREI, Anul 2004, Numar persoane, 67661
Total, MACROREGIUNEA TREI, Anul 2005, Numar persoane, 69949
Total, MACROREGIUNEA TREI, Anul 2006, Numar persoane, 68907
Total, MACROREGIUNEA TREI, Anul 2007, Numar persoane, 67402
Total, MACROREGIUNEA TREI, Anul 2008, Numar persoane, 67451
Total, MACROREGIUNEA TREI, Anul 2009, Numar persoane, 68216
Total, MACROREGIUNEA TREI, Anul 2010, Numar persoane, 68434
Total, MACROREGIUNEA TREI, Anul 2011, Numar persoane, 67433
Total, MACROREGIUNEA TREI, Anul 2012, Numar persoane, 68824
Total, MACROREGIUNEA TREI, Anul 2013, Numar persoane, 66605
Total, MACROREGIUNEA TREI, Anul 2014, Numar persoane, 67869
Total, MACROREGIUNEA TREI, Anul 2015, Numar persoane, 69289
Total, MACROREGIUNEA TREI, Anul 2016, Numar persoane, 69434
Total, Regiunea SUD-MUNTENIA, Anul 1990, Numar persoane, 41861
Total, Regiunea SUD-MUNTENIA, Anul 1991, Numar persoane, 42351
Total, Regiunea SUD-MUNTENIA, Anul 1992, Numar persoane, 44571
Total, Regiunea SUD-MUNTENIA, Anul 1993, Numar persoane, 43937
Total, Regiunea SUD-MUNTENIA, Anul 1994, Numar persoane, 43914
Total, Regiunea SUD-MUNTENIA, Anul 1995, Numar persoane, 45839
Total, Regiunea SUD-MUNTENIA, Anul 1996, Numar persoane, 48726
Total, Regiunea SUD-MUNTENIA, Anul 1997, Numar persoane, 47132
Total, Regiunea SUD-MUNTENIA, Anul 1998, Numar persoane, 45510
Total, Regiunea SUD-MUNTENIA, Anul 1999, Numar persoane, 44570
Total, Regiunea SUD-MUNTENIA, Anul 2000, Numar persoane, 42911
Total, Regiunea SUD-MUNTENIA, Anul 2001, Numar persoane, 43879
Total, Regiunea SUD-MUNTENIA, Anul 2002, Numar persoane, 46023
Total, Regiunea SUD-MUNTENIA, Anul 2003, Numar persoane, 45669
Total, Regiunea SUD-MUNTENIA, Anul 2004, Numar persoane, 43479
Total, Regiunea SUD-MUNTENIA, Anul 2005, Numar persoane, 44412
Total, Regiunea SUD-MUNTENIA, Anul 2006, Numar persoane, 43498
Total, Regiunea SUD-MUNTENIA, Anul 2007, Numar persoane, 42288
Total, Regiunea SUD-MUNTENIA, Anul 2008, Numar persoane, 42917
Total, Regiunea SUD-MUNTENIA, Anul 2009, Numar persoane, 43620
Total, Regiunea SUD-MUNTENIA, Anul 2010, Numar persoane, 43588
Total, Regiunea SUD-MUNTENIA, Anul 2011, Numar persoane, 42711
Total, Regiunea SUD-MUNTENIA, Anul 2012, Numar persoane, 43246
Total, Regiunea SUD-MUNTENIA, Anul 2013, Numar persoane, 42028
Total, Regiunea SUD-MUNTENIA, Anul 2014, Numar persoane, 42669
Total, Regiunea SUD-MUNTENIA, Anul 2015, Numar persoane, 43260
Total, Regiunea SUD-MUNTENIA, Anul 2016, Numar persoane, 43374
Total, Arges, Anul 1990, Numar persoane, 6946
Total, Arges, Anul 1991, Numar persoane, 7172
Total, Arges, Anul 1992, Numar persoane, 7347
Total, Arges, Anul 1993, Numar persoane, 7122
Total, Arges, Anul 1994, Numar persoane, 7097
Total, Arges, Anul 1995, Numar persoane, 7648
Total, Arges, Anul 1996, Numar persoane, 7861
Total, Arges, Anul 1997, Numar persoane, 7754
Total, Arges, Anul 1998, Numar persoane, 7674
Total, Arges, Anul 1999, Numar persoane, 7388
Total, Arges, Anul 2000, Numar persoane, 7404
Total, Arges, Anul 2001, Numar persoane, 7558
Total, Arges, Anul 2002, Numar persoane, 7680
Total, Arges, Anul 2003, Numar persoane, 7426
Total, Arges, Anul 2004, Numar persoane, 7571
Total, Arges, Anul 2005, Numar persoane, 7482
Total, Arges, Anul 2006, Numar persoane, 7367
Total, Arges, Anul 2007, Numar persoane, 7268
Total, Arges, Anul 2008, Numar persoane, 7290
Total, Arges, Anul 2009, Numar persoane, 7248
Total, Arges, Anul 2010, Numar persoane, 7529
Total, Arges, Anul 2011, Numar persoane, 7510
Total, Arges, Anul 2012, Numar persoane, 7289
Total, Arges, Anul 2013, Numar persoane, 7185
Total, Arges, Anul 2014, Numar persoane, 7283
Total, Arges, Anul 2015, Numar persoane, 7509
Total, Arges, Anul 2016, Numar persoane, 7510
Total, Calarasi, Anul 1990, Numar persoane, 4154
Total, Calarasi, Anul 1991, Numar persoane, 4096
Total, Calarasi, Anul 1992, Numar persoane, 4362
Total, Calarasi, Anul 1993, Numar persoane, 4153
Total, Calarasi, Anul 1994, Numar persoane, 4388
Total, Calarasi, Anul 1995, Numar persoane, 4620
Total, Calarasi, Anul 1996, Numar persoane, 5003
Total, Calarasi, Anul 1997, Numar persoane, 4674
Total, Calarasi, Anul 1998, Numar persoane, 4491
Total, Calarasi, Anul 1999, Numar persoane, 4318
Total, Calarasi, Anul 2000, Numar persoane, 4218
Total, Calarasi, Anul 2001, Numar persoane, 4390
Total, Calarasi, Anul 2002, Numar persoane, 4572
Total, Calarasi, Anul 2003, Numar persoane, 4564
Total, Calarasi, Anul 2004, Numar persoane, 4349
Total, Calarasi, Anul 2005, Numar persoane, 4380
Total, Calarasi, Anul 2006, Numar persoane, 4341
Total, Calarasi, Anul 2007, Numar persoane, 4273
Total, Calarasi, Anul 2008, Numar persoane, 4330
Total, Calarasi, Anul 2009, Numar persoane, 4389
Total, Calarasi, Anul 2010, Numar persoane, 4436
Total, Calarasi, Anul 2011, Numar persoane, 4303
Total, Calarasi, Anul 2012, Numar persoane, 4350
Total, Calarasi, Anul 2013, Numar persoane, 4312
Total, Calarasi, Anul 2014, Numar persoane, 4379
Total, Calarasi, Anul 2015, Numar persoane, 4447
Total, Calarasi, Anul 2016, Numar persoane, 4359
Total, Dambovita, Anul 1990, Numar persoane, 6570
